instrument,staff,measureNumber,offset,duration,frequency,step,octave
Piano,,1,0.0,0.25,0.0,,
Piano,,1,2.0,0.25,277.182630976872,C,4
Piano,,1,2.75,0.25,277.182630976872,C,4
Piano,,1,3.0,0.25,329.62755691286986,E,4
Piano,,1,3.25,0.25,207.65234878997245,G,3
Piano,,1,3.5,0.25,277.182630976872,C,4
Piano,,1,3.75,0.25,329.62755691286986,E,4
Piano,,2,4.0,0.25,415.3046975799451,G,4
Piano,,2,4.25,0.25,277.182630976872,C,4
Piano,,2,4.5,0.25,329.62755691286986,E,4
Piano,,2,4.75,0.25,415.3046975799451,G,4
Piano,,2,5.0,0.25,554.3652619537443,C,5
Piano,,2,5.25,0.25,329.62755691286986,E,4
Piano,,2,5.5,0.25,415.3046975799451,G,4
Piano,,2,5.75,0.25,554.3652619537443,C,5
Piano,,2,6.0,0.25,659.2551138257401,E,5
Piano,,2,6.25,0.25,415.3046975799451,G,4
Piano,,2,6.5,0.25,554.3652619537443,C,5
Piano,,2,6.75,0.25,659.2551138257401,E,5
Piano,,2,7.0,0.5,415.3046975799451,G,4
Piano,,2,7.0,0.5,554.3652619537443,C,5
Piano,,2,7.0,0.5,659.2551138257401,E,5
Piano,,2,7.0,0.5,830.6093951598907,G,5
Piano,,2,7.5,0.5,415.3046975799451,G,4
Piano,,2,7.5,0.5,554.3652619537443,C,5
Piano,,2,7.5,0.5,659.2551138257401,E,5
Piano,,2,7.5,0.5,830.6093951598907,G,5
Piano,,3,8.0,0.25,0.0,G,5
Piano,,3,11.0,0.25,311.1269837220808,D,4
Piano,,3,11.25,0.25,207.65234878997245,G,3
Piano,,3,11.5,0.25,261.6255653005985,B,3
Piano,,3,11.75,0.25,311.1269837220808,D,4
Piano,,4,12.0,0.25,415.3046975799451,G,4
Piano,,4,12.25,0.25,261.6255653005985,B,3
Piano,,4,12.5,0.25,311.1269837220808,D,4
Piano,,4,12.75,0.25,415.3046975799451,G,4
Piano,,4,13.0,0.25,523.2511306011974,B,4
Piano,,4,13.25,0.25,311.1269837220808,D,4
Piano,,4,13.5,0.25,415.3046975799451,G,4
Piano,,4,13.75,0.25,523.2511306011974,B,4
Piano,,4,14.0,0.25,622.253967444162,D,5
Piano,,4,14.25,0.25,415.3046975799451,G,4
Piano,,4,14.5,0.25,523.2511306011974,B,4
Piano,,4,14.75,0.25,622.253967444162,D,5
Piano,,4,15.0,0.5,415.3046975799451,G,4
Piano,,4,15.0,0.5,523.2511306011974,B,4
Piano,,4,15.0,0.5,622.253967444162,D,5
Piano,,4,15.0,0.5,830.6093951598907,G,5
Piano,,4,15.5,0.5,415.3046975799451,G,4
Piano,,4,15.5,0.5,523.2511306011974,B,4
Piano,,4,15.5,0.5,622.253967444162,D,5
Piano,,4,15.5,0.5,830.6093951598907,G,5
Piano,,5,16.0,0.25,0.0,G,5
Piano,,5,18.0,0.25,349.2282314330038,E,4
Piano,,5,18.25,0.25,207.65234878997245,G,3
Piano,,5,18.5,0.25,277.182630976872,C,4
Piano,,5,18.75,0.25,349.2282314330038,E,4
Piano,,5,19.0,0.25,415.3046975799451,G,4
Piano,,5,19.25,0.25,277.182630976872,C,4
Piano,,5,19.5,0.25,349.2282314330038,E,4
Piano,,5,19.75,0.25,415.3046975799451,G,4
Piano,,6,20.0,0.25,554.3652619537443,C,5
